uri,name,dynasty,ocre,AV,AR,AE,worn,notes,year
http://nomisma.org/id/sabinus_julianus,Sabinus Julianus,Third Century Restoration,http://numismatics.org/ocre/results?q=portrait_facet:%22Sabinus Julianus%22,http://numismatics.org/collectionimages/19501999/1967/1967.153.85.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n1/1496/vs_opt.jpg,,http://numismatics.org/collectionimages/19001949/1944/1944.100.30911.obv.width350.jpg,,283 AD- 286 AD
http://nomisma.org/id/amandus,Amandus,Third Century Restoration,http://numismatics.org/ocre/results?q=portrait_facet:%22Amandus%22,,,,,No Examples found,285 AD- 286 AD
http://nomisma.org/id/carausius,Carausius,British Empire,http://numismatics.org/ocre/results?q=portrait_facet:%22Carausius%22,,http://ww2.smb.museum/mk_edit/images/n39/39819/vs_opt.jpg,,,AV images found in BM. ANS AV images of poor quality. No AE images found,286 AD- 293 AD
http://nomisma.org/id/allectus,Allectus,British Empire,http://numismatics.org/ocre/results?q=portrait_facet:%22Allectus%22,http://ww2.smb.museum/mk_edit/images/n1/1504/vs_opt.jpg,http://numismatics.org/collectionimages/19001949/1935/1935.38.2.obv.width350.jpg,,http://ww2.smb.museum/mk_edit/images/n41/41480/vs_opt.jpg,ANS 1935.38.2 AR images need to be uploaded to OCRE,293 AD- 296 AD
http://nomisma.org/id/diocletian,Diocletian,Tetrarchy,http://numismatics.org/ocre/results?q=portrait_facet:%22Diocletian%22,http://numismatics.org/collectionimages/19001949/1944/1944.100.5852.obv.width350.jpg|http://numismatics.org/collectionimages/19001949/1944/1944.100.5857.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n27/27607/vs_opt.jpg|http://ww2.smb.museum/mk_edit/images/n27/27188/vs_opt.jpg,http://numismatics.org/collectionimages/19501999/1984/1984.146.1143.obv.width350.jpg|http://ww2.smb.museum/mk_edit/images/n1/1084/vs_opt.jpg,http://ww2.smb.museum/mk_edit/images/n27/27559/vs_opt.jpg,,284 AD- 311 AD
http://nomisma.org/id/maximian,Maximian,Tetrarchy,http://numismatics.org/ocre/results?q=portrait_facet:%22Maximian%22,http://ww2.smb.museum/mk_edit/images/n2/2602/vs_opt.jpg|http://ww2.smb.museum/mk_edit/images/n29/29134/vs_opt.jpg,http://ww2.smb.museum/mk_edit/images/n39/39570/vs_opt.jpg|http://ww2.smb.museum/mk_edit/images/n46/46883/vs_opt.jpg,http://numismatics.org/collectionimages/19501999/1984/1984.146.200.obv.width350.jpg|http://numismatics.org/collectionimages/19001949/1944/1944.100.5940.obv.width350.jpg|http://ww2.smb.museum/mk_edit/images/n36/36905/vs_opt.jpg,http://numismatics.org/collectionimages/19001949/1922/1922.38.9.obv.width350.jpg,,284 AD- 318 AD
http://nomisma.org/id/constantius_chlorus,Constantius Chlorus,Tetrarchy,http://numismatics.org/ocre/results?q=portrait_facet:%22Constantius Chlorus%22,http://ww2.smb.museum/mk_edit/images/n46/46863/vs_opt.jpg|http://ww2.smb.museum/mk_edit/images/n0/527/vs_opt.jpg,http://ww2.smb.museum/mk_edit/images/n46/46875/vs_opt.jpg|http://ww2.smb.museum/mk_edit/images/n46/46880/vs_opt.jpg,http://numismatics.org/collectionimages/19501999/1984/1984.146.1281.obv.width350.jpg|http://numismatics.org/collectionimages/19501999/1984/1984.146.1181.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n34/34161/vs_opt.jpg,,293 AD- 305 AD
http://nomisma.org/id/galerius,Galerius,Tetrarchy,http://numismatics.org/ocre/results?q=portrait_facet:%22Galerius%22,http://numismatics.org/collectionimages/19501999/1967/1967.153.39.obv.width350.jpg|http://numismatics.org/collectionimages/19001949/1944/1944.100.5957.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n40/40989/vs_opt.jpg,http://numismatics.org/collectionimages/19501999/1984/1984.146.1168.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n29/29863/vs_opt.jpg,,284 AD- 313 AD
http://nomisma.org/id/galeria_valeria,Galeria Valeria,Tetrarchy,http://numismatics.org/ocre/results?q=portrait_facet:%22Galeria Valeria%22,http://numismatics.org/collectionimages/19501999/1967/1967.153.28.obv.width350.jpg,,http://ww2.smb.museum/mk_edit/images/n1/1140/vs_opt.jpg,,No worn examples found,307 AD- 311 AD
http://nomisma.org/id/domitius_domitianus,Domitius Domitianus,Tetrarchy,http://numismatics.org/ocre/results?q=portrait_facet:%22Domitius Domitianus%22,,,http://numismatics.org/collectionimages/19501999/1974/1974.26.31.obv.width350.jpg,,No AV images found,294 AD- 296 AD
